nin_pmjay,type,address,latitude,longitude,contact,mobile,categoryno,name,pincode,district,state,categoryname,block,city
HOSP24P04978,Paid,"Zanzada Chokdi, Junagadh","21.520954599675065","70.45339999991012",Dr Nirav Satasiya,"7622868893","2",satasia surgical hospital,"362001",JUNAGADH,GUJARAT,Private PMJAY,,
,,PHC CHEETHWARI,"27.14396860027074","75.80109620042936",,,"3",PHC CHEETHWARI,"303806",JAIPUR,RAJASTHAN,Health Facilities All States,Govindgarh,
,,Dabaycha PHC,"23.89449530011808","73.43864659956097",,,"3",Dabaycha PHC,"313804",UDAIPUR,RAJASTHAN,Health Facilities All States,Kherwara,
,,B K SARERI,"25.620528900088743","74.4438872996592",,,"3",B K Sareri PHC,"311026",BHILWARA,RAJASTHAN,Health Facilities All States,Asind,
,,CHC NOKHRA HCW,"25.478365300418318","71.61838520031682",,,"3",CHC NOKHRA,"344702",BARMER,RAJASTHAN,Health Facilities All States,Sindhari,
,,BUHANA,"28.205316599881257","75.87573540036851",,,"3",CHC BUHANA 2,"333502",JHUNJHUNUN,RAJASTHAN,Health Facilities All States,Buhana,
,,Bhirani PHC Hanumangarh,"29.076814499589545","75.36471960022942",,,"3",PHC Bhirani,"335503",HANUMANGARH,RAJASTHAN,Health Facilities All States,Bhadra,
,,CHC Kesarisinghpur block karanpur district ganganagar,"29.94752079984511","73.62124170034423",,,"3",CHC Kesarisinghpur police,"335027",GANGANAGAR,RAJASTHAN,Health Facilities All States,Karanpur,
,,PHC KAKDA,"27.670921399702877","73.66833709957751",,,"3",PHC KAKDA EDUCATION,"334001",BIKANER,RAJASTHAN,Health Facilities All States,Nokha,
,,Purana Police Office MHA 2 Near Ankur Cinema,"26.91273190035696","75.83461780017137",,,"3",Purana Police Office MHA 2,"303328",JAIPUR,RAJASTHAN,Health Facilities All States,Jaipur I Urban,
,,Kushalpura CHC,"26.097408600026938","73.9580246000553",,,"3",Kushalpura CHC,"306305",PALI,RAJASTHAN,Health Facilities All States,Raipur,
,,PHC Mandarpura,"29.01607469958776","74.63565150041649",,,"3",PHC MANDARPURA 2,"335523",HANUMANGARH,RAJASTHAN,Health Facilities All States,Nohar,
,,Kharda PHC,"25.866676599645416","73.23003200037658",,,"3",Kharda PHC,"306421",PALI,RAJASTHAN,Health Facilities All States,Rohat,
,,PHC Bori,"23.575449099596312","74.10858000036677",,,"3",PHC Bori,"327022",BANSWARA,RAJASTHAN,Health Facilities All States,Partapur,
,,CHC BALI,"25.220171500414438","73.30981260017143",,,"3",P CHC BALI,"306701",PALI,RAJASTHAN,Health Facilities All States,Bali,
,,PHC SUREWALA Surewala PHC,"29.594548999836547","74.54486350005055",,,"3",PHC SUREWALA 1,"335526",HANUMANGARH,RAJASTHAN,Health Facilities All States,Tibbi,
,,Alakh Nayan Institute,"24.586836399680124","73.73830970033248",,,"3",Alakh Nayan,"313001",UDAIPUR,RAJASTHAN,Health Facilities All States,Udaipur Urban,
,,Ashaholi,"25.332532300425385","74.27821209960877",,,"3",PHC ASHAHOLI,"311801",BHILWARA,RAJASTHAN,Health Facilities All States,Raipur,
,,Nayaran Seva Sansthan Hospital,"24.565848299659365","73.7238712998207",,,"3",Nayaran Seva Sansthan Hospital,"313002",UDAIPUR,RAJASTHAN,Health Facilities All States,Udaipur Urban,
,,Mangrol CHC,"25.325239099904593","76.51385999983916",,,"3",Mangrol CHC,"325215",BARAN,RAJASTHAN,Health Facilities All States,Anta,
,,MCH Center- Jalore,"25.343600399838635","72.62439349966036",,,"3",MCH Center- Jalore,"343001",JALOR,RAJASTHAN,Health Facilities All States,Jalore Urban,
,,Phc Karoli,"27.567081800185008","76.19865950003594",,,"3",Phc Karoli,"303110",JAIPUR,RAJASTHAN,Health Facilities All States,Kotputli,
,,Banskho CHC1,"26.824373500336833","76.14649030028721",,,"3",Banskho CHC1,"303305",JAIPUR,RAJASTHAN,Health Facilities All States,Bassi,
,,Nagar,"25.89895120033765","75.82652180004112",,,"3",Phc Nagar,"304802",TONK,RAJASTHAN,Health Facilities All States,Malpura,
,,CHC KOLAYAT,"27.841940300304657","72.96145899963318",,,"3",CHC KOLAYAT 3 EDUCATION,"334302",BIKANER,RAJASTHAN,Health Facilities All States,Kolyat,
,,Nimeda site 1,"26.505882700426355","75.51529549968762",,,"3",Nimeda site 1,"303005",JAIPUR,RAJASTHAN,Health Facilities All States,Phagi,
,,SUKET CHC,"24.647586799990904","76.03676970026152",,,"3",MHA SUKET CHC,"326530",KOTA,RAJASTHAN,Health Facilities All States,Khairabad,
,,DISTRICT HOSPITAL BIKANER,"28.020561600037865","73.30284619979233",,,"3",DISTRICT HOSPITAL MOHUA,"334001",BIKANER,RAJASTHAN,Health Facilities All States,Urban,
,,Mojmabad PHC I,"26.67349399964843","75.36016490009013",,,"3",Mojmabad PHC I,"303009",JAIPUR,RAJASTHAN,Health Facilities All States,Dudu,
,,SINGHANA,"28.09697260020539","75.83581340026825",,,"3",CHC SINGHANA 2,"333516",JHUNJHUNUN,RAJASTHAN,Health Facilities All States,Buhana,
,,CHC Ramgarh,"29.184763999958705","74.98170240034557",,,"3",Ramgarh CHC B,"335504",HANUMANGARH,RAJASTHAN,Health Facilities All States,Nohar,
,,Community Health Center Padampur,"29.707549000186248","73.62565740036877",,,"3",CHC Padampur for,"335041",GANGANAGAR,RAJASTHAN,Health Facilities All States,Padampur,
,,CHC KALYANPUR PE 2,"26.51082200013525","80.24686609989067",,,"3",CHC KALYANPUR PE 2,"344032",KANPUR,UTTAR PRADESH,Health Facilities All States,Balotra,
,,Rattewala PHCSri Ganganagar,"29.758936500219363","73.73683850029659",,,"3",Rattewala PHC,"335022",GANGANAGAR,RAJASTHAN,Health Facilities All States,Padampur,
,,CHATTARGARH BIKANER,"28.77829989962072","73.26039789974334",,,"3",BLOCK CHATTARGARH FINAL REMAIN,"334021",BIKANER,RAJASTHAN,Health Facilities All States,Khajuwala,
,,CHC GADRA ROAD PE 2,"25.745978399883313","70.65202010044732",,,"3",CHC GADRA ROAD PE 2,"344701",BARMER,RAJASTHAN,Health Facilities All States,Shiv Block,
,,SIROHI DIST. HOSPITAL,"24.88539209956582","72.85313130016942",,,"3",DH SIORHI PRI,"307001",SIROHI,RAJASTHAN,Health Facilities All States,Sirohi Urban,
,,CHC Karanpur Karanpur,"29.84170069982747","73.45701310027442",,,"3",CHC Karanpur EDU,"335073",GANGANAGAR,RAJASTHAN,Health Facilities All States,Karanpur,
,,Sakhoon PHC SITE2,"26.703295899985847","75.09761469955879",,,"3",Sakhoon PHC SITE2,"303008",JAIPUR,RAJASTHAN,Health Facilities All States,Dudu,
,,BUHANA,"28.205316599881257","75.87573540036851",,,"3",CHC BUHANA A,"333502",JHUNJHUNUN,RAJASTHAN,Health Facilities All States,Buhana,
,,PHC MITHDAU PE,"24.92725460011974","71.07297800043443",,,"3",PHC MITHDAU PE,"344706",BARMER,RAJASTHAN,Health Facilities All States,Chohtan,
,,CHC Osian,"26.731283300284133","72.90503080043118",,,"3",Osian PRI,"342303",JODHPUR,RAJASTHAN,Health Facilities All States,Osian,
,,CHC PISANGAN,"26.390525200177876","74.37927369962159",,,"3",CHC PISANGAN,"305204",AJMER,RAJASTHAN,Health Facilities All States,Pisangan,
,,Phc talchidi,"26.906584599799487","77.02406130018892",,,"3",Phc Talchidi,"322240",DAUSA,RAJASTHAN,Health Facilities All States,Mahua,
,,MUJEHNA,"27.19708080033871","82.14144380019127",,,"3",MUJEHNA-154FEB,"271602",GONDA,UTTAR PRADESH,Health Facilities All States,MUJEHNA,
,,PANDRIPKRIPAL,"27.177069800231152","81.99438469959426",,,"3",PANDRIKRIPAL-15FEB,"271002",GONDA,UTTAR PRADESH,Health Facilities All States,PANDRIKRIPAL,
,,MORNA 1 MOU 15-2-2021,"29.467881700180385","77.93816890037454",,,"3",MORNA 1 MOU 15-2-2021,"251316",MUZAFARNAGAR,UTTAR PRADESH,Health Facilities All States,Bhopa Morna,
,,KATRABAZAR GONDA,"27.218890699945916","81.80877209995253",,,"3",KATRABAZAR 18 FEB PRI,"271503",GONDA,UTTAR PRADESH,Health Facilities All States,KATRABAZAR,
,,CHC Bankati,"26.679702599795178","82.89770579968297",,,"3",PRI DCHG BANKATI 18,"272123",BASTI,UTTAR PRADESH,Health Facilities All States,Bankati,
,,TAJGANJ FRONT 25-2,"27.15078180023994","78.05886910022883",,,"3",TAJGANJ FRONT 25-2,"282001",AGRA,UTTAR PRADESH,Health Facilities All States,Agra Urban,
,,Police  Hospital Hamirpur,"25.95708969962999","80.14944789990074",,,"3",Police Hospital  18.02.2021,"210301",HAMIRPUR,UTTAR PRADESH,Health Facilities All States,Kurara,
,,PARED,"26.470131100370054","80.3470715003495",,,"3",AHM HSPTL MOP 25 FEB-01 1ST DO,"208001",KANPUR,UTTAR PRADESH,Health Facilities All States,Kanpur City,
,,PHC BAGHAULI,"26.83117490030145","83.05627340039717",,,"3",180201 PRI PHC BAGHAULI,"272176",SANTKABIRNAGAR,UTTAR PRADESH,Health Facilities All States,Baghauli,
,,CHC Swar,"29.02769690009194","79.05748779982218",,,"3",Swar CHC Mopup,"244924",RAMPUR,UTTAR PRADESH,Health Facilities All States,Swar,
,,Begum Pul,"28.990494000197998","77.7057480001701",,,"3",Cantt. Hospital Session 2,"250001",MEERUT,UTTAR PRADESH,Health Facilities All States,Cantt UHC,
,,VIIT HOSPITAL BSR,"28.379385400116178","77.8290133003236",,,"3",VIIT M2 2202,"203001",BULANDSAHAR,UTTAR PRADESH,Health Facilities All States,Bulandshahar,
,,CIVIL LINE BAREILLY,"28.337569599557412","79.4119244002909",,,"3",CIVIL LINE UPHC-1,"243001",BAREILLY,UTTAR PRADESH,Health Facilities All States,Civil Line U,
,,CHC Baheri,"28.777826199719414","79.49796240014473",,,"3",CHC Baheri-1,"243201",BAREILLY,UTTAR PRADESH,Health Facilities All States,Baheri,
,,UPHC KPM,"26.465854100086688","80.35835730044909",,,"3",UPHC KPM-18 FEB-01,"208001",KANPUR,UTTAR PRADESH,Health Facilities All States,Kanpur City,
,,MOHAUA BAGHPAT CHC 1,"28.942782700261432","77.227607000163",,,"3",MOHAUA BAGHPAT CHC 1,"250609",BAGHPAT,UTTAR PRADESH,Health Facilities All States,BAGHPAT,
,,CHC Saughat 2,"26.823668199827637","82.76571230028247",,,"3",MHA DCHG 2,"272002",BASTI,UTTAR PRADESH,Health Facilities All States,Saughat,
,,Bamore CHC Rural,"25.713586399892506","79.17178390040675",,,"3",Bamore CHC Site 1,"284202",JHANSI,UTTAR PRADESH,Health Facilities All States,Bamore,
,,Kotwali,"29.51939120044358","78.34220879989624",,,"3",PHC Kotwali PRI,"246764",BIJNOR,UTTAR PRADESH,Health Facilities All States,Kotwali,
,,OPEK HOSPITAL KAILY,"26.779394499956254","82.76278620042285",,,"3",MHA PRI KAILY 22B,"272001",BASTI,UTTAR PRADESH,Health Facilities All States,Basti Sadar,
,,GONDA,"27.139476599965178","81.93582429955183",,,"3",POLICE LINE  -22FEB-B,"271002",GONDA,UTTAR PRADESH,Health Facilities All States,PANDRIKRIPAL,
,,Jagdaur,"27.2267163000173","83.6637137000273",,,"3",CHC Mithaura 25Feb2021,"273207",MAHARAJGANJ,UTTAR PRADESH,Health Facilities All States,Mithaura,
,,PURKAZI 1 MOU 15-2-2021,"29.65878060024454","77.84101629986242",,,"3",PURKAZI 1 MOU 15-2-2021,"251327",MUZAFARNAGAR,UTTAR PRADESH,Health Facilities All States,Purkazi,
,,MORNA 2 MOU 15-2-2021,"29.467881700180385","77.93816890037454",,,"3",MORNA 2 MOU 15-2-2021,"251316",MUZAFARNAGAR,UTTAR PRADESH,Health Facilities All States,Bhopa Morna,
,,Gonda,"27.83157999971729","77.88103079973166",,,"3",Gonda CHC 3 19.02 MOP UP,"202123",ALIGARH,UTTAR PRADESH,Health Facilities All States,Gonda,
,,RAKABGANJ NORTH FRONT 25-2,"27.142605999667182","78.00923899958025",,,"3",RAKABGANJ NORTH FRONT 25-2,"282001",AGRA,UTTAR PRADESH,Health Facilities All States,Agra Urban,
,,Pisawan CHC Sitapur,"27.55651669968597","80.49295719971508",,,"3",Pisawan 22 Live 100 2 Session,"261151",SITAPUR,UTTAR PRADESH,Health Facilities All States,Pisanwan,
,,SEWLA FRONT 25-2,"27.12053170027781","78.00283330041651",,,"3",SEWLA,"282001",AGRA,UTTAR PRADESH,Health Facilities All States,Agra Urban,
,,Chorshand Dharmapur,"25.77460389975022","82.78392280009723",,,"3",CHC Dharmapur  B,"222133",JAUNPUR,UTTAR PRADESH,Health Facilities All States,Dharmapur,
,,SVM Hospital BHELUPUR,"25.29937270028995","83.0012579003319",,,"3",SVM BHELUPUR MoPUP TWO,"221001",VARANASI,UTTAR PRADESH,Health Facilities All States,Bhelupur UVDC,
,,near kotwali,"25.958820200292053","80.14559819989705",,,"3",Dist. Male Hosp2. 18.2.2021,"210301",HAMIRPUR,UTTAR PRADESH,Health Facilities All States,Kurara,
